,Area,WC,PN,Price,Floor,HouseType,Location
0,150.0,1.0,2.0,3.899,1.0,5.5437090053763445,6.356913043478261
1,51.0,2.0,2.6666666666666665,5.5,3.0,5.5437090053763445,6.305351941747572
2,45.0,2.0,2.0,4.6,2.0,6.589457364341085,7.197767857142857
3,41.0,4.0,4.0,7.35,2.0,5.5437090053763445,6.913571428571428
5,91.0,3.0,3.0,3.5,3.0,7.485200839463087,5.583661764705883
8,33.0,3.0,3.0,4.0,3.0,6.589457364341085,6.308395494367961
11,75.0,6.0,5.0,12.8,4.0,7.485200839463087,5.173272727272726
12,110.0,3.0,4.0,3.4,3.0,5.5437090053763445,4.4488392857142856
15,53.0,4.0,4.0,7.39,4.0,5.5437090053763445,5.831480472297911
17,50.0,3.0,3.0,4.75,1.0,5.5437090053763445,6.308395494367961
18,40.0,2.3333333333333335,3.6666666666666665,5.5,4.0,5.5437090053763445,6.305351941747572
19,80.0,5.0,5.0,9.39,2.0,5.5437090053763445,6.308395494367961
20,80.0,4.0,4.0,15.8,3.0,5.5437090053763445,8.821571428571428
21,57.0,3.0,4.0,6.1,4.0,5.5437090053763445,5.624838426204724
22,55.0,1.0,3.0,5.75,3.0,5.5437090053763445,6.305351941747572
23,35.0,2.3333333333333335,3.6666666666666665,5.5,4.0,5.5437090053763445,6.305351941747572
24,31.0,3.0,4.0,4.69,3.0,5.5437090053763445,5.624838426204724
25,80.0,5.0,4.0,8.3,3.0,5.5437090053763445,5.4311051212938
26,71.0,5.0,4.333333333333333,14.5,3.0,5.5437090053763445,8.821571428571428
27,75.0,6.0,5.0,15.2,3.0,7.485200839463087,4.4488392857142856
29,75.0,3.0,5.0,13.0,3.0,7.485200839463087,4.4488392857142856
32,50.0,2.0,2.0,3.35,2.0,5.5437090053763445,5.624838426204724
33,94.0,4.0,3.0,9.9,3.0,5.5437090053763445,5.831480472297911
34,36.0,2.0,2.0,2.95,2.0,5.5437090053763445,5.624838426204724
35,55.0,5.0,5.0,7.4,4.0,6.589457364341085,7.197767857142857
40,60.0,2.0,3.0,5.1,2.0,5.5437090053763445,6.642669902912622
41,58.0,1.6666666666666667,4.0,9.7,5.0,5.5437090053763445,5.831480472297911
42,48.0,5.0,4.0,4.55,3.0,5.5437090053763445,5.2687857142857135
43,80.0,4.0,4.0,16.0,1.0,7.485200839463087,8.821571428571428
44,35.0,2.0,2.0,3.35,2.0,5.5437090053763445,5.583661764705883
45,75.0,1.0,2.0,8.6,1.0,5.5437090053763445,5.624838426204724
47,50.0,3.0,4.0,4.3,3.0,5.5437090053763445,6.42252427184466
48,57.0,4.0,3.0,10.9,5.0,5.5437090053763445,5.831480472297911
51,56.0,2.0,2.0,4.9,2.0,5.5437090053763445,6.305351941747572
52,50.0,2.0,3.0,4.7,2.0,5.5437090053763445,5.831480472297911
53,42.0,3.0,3.0,6.25,4.0,7.485200839463087,5.831480472297911
54,44.0,2.0,2.0,5.0,2.0,5.5437090053763445,6.305351941747572
55,85.0,2.0,2.0,7.5,3.0,5.5437090053763445,5.831480472297911
56,80.0,4.0,4.0,5.38,3.0,5.5437090053763445,5.2687857142857135
57,80.0,4.0,4.0,9.3,4.0,5.5437090053763445,5.624838426204724
58,121.0,4.0,4.0,9.0,1.0,6.589457364341085,5.583661764705883
60,40.0,2.0,3.0,4.3,2.0,5.5437090053763445,5.831480472297911
62,61.0,5.0,5.0,8.9,5.0,5.5437090053763445,5.624838426204724
63,96.0,1.0,1.0,5.7,2.0,5.5437090053763445,5.624838426204724
64,57.0,3.0,3.0,3.4,2.0,5.5437090053763445,5.624838426204724
66,55.0,5.0,4.0,7.0,4.0,5.5437090053763445,5.831480472297911
68,82.0,2.0,4.0,6.1,2.0,5.5437090053763445,6.305351941747572
71,37.0,6.0,5.0,5.78,4.0,5.5437090053763445,6.308395494367961
72,40.0,2.0,2.0,2.4,2.0,5.5437090053763445,5.583661764705883
75,150.0,2.0,2.0,2.5,3.0,6.589457364341085,7.197767857142857
77,68.0,5.0,4.0,6.5,4.0,5.5437090053763445,5.2687857142857135
79,28.0,1.0,1.0,2.25,1.0,5.5437090053763445,5.4311051212938
80,63.0,3.0,4.0,4.85,3.0,5.5437090053763445,5.2687857142857135
81,18.0,3.0,3.0,4.6,4.0,5.5437090053763445,7.197767857142857
82,106.0,2.0,1.0,3.5,3.0,5.5437090053763445,7.197767857142857
83,66.0,1.0,1.0,5.5,1.0,5.5437090053763445,5.831480472297911
84,61.0,2.6666666666666665,2.6666666666666665,4.0,4.0,5.5437090053763445,5.624838426204724
85,61.0,2.6666666666666665,2.6666666666666665,4.0,4.0,5.5437090053763445,5.624838426204724
86,100.0,2.0,3.0,5.5,2.0,5.5437090053763445,5.624838426204724
88,45.0,3.0,3.0,5.8,3.0,6.589457364341085,6.308395494367961
91,82.0,5.0,4.0,8.71,3.0,5.5437090053763445,7.340891402714932
92,65.0,4.0,3.0,5.9,3.0,5.5437090053763445,5.624838426204724
93,44.0,3.0,2.0,5.48,3.0,5.5437090053763445,4.4488392857142856
94,80.0,4.0,5.0,12.0,3.0,7.485200839463087,4.4488392857142856
96,37.0,2.3333333333333335,4.0,4.68,4.0,5.5437090053763445,5.831480472297911
97,52.0,6.0,5.0,5.8,4.0,5.5437090053763445,5.831480472297911
98,22.0,2.0,2.0,3.65,3.0,5.5437090053763445,7.197767857142857
99,26.0,3.0,2.0,3.0,3.0,5.5437090053763445,6.308395494367961
101,101.0,2.0,2.0,10.9,1.0,5.5437090053763445,5.831480472297911
103,95.0,6.0,5.0,14.8,4.0,6.589457364341085,5.583661764705883
104,50.0,5.0,5.0,5.3,4.0,6.589457364341085,6.308395494367961
105,40.0,4.0,4.0,5.5,3.0,7.485200839463087,6.305351941747572
108,30.0,3.6666666666666665,3.6666666666666665,5.3,4.0,5.5437090053763445,6.305351941747572
109,36.0,2.3333333333333335,3.0,3.3,2.0,5.5437090053763445,5.2687857142857135
