Day,Month,Year,Area,WC,PN,Price,Floor,SoSach,district,Type
10,12,2023,150.0,1,2,3.9,1,Có,Nhà Bè,Bán Nhà riêng
10,12,2023,51.0,2,4,5.5,3,Có,Tân Bình,Bán Nhà riêng
10,12,2023,45.0,2,2,4.6,2,Có,Phú Nhuận,Bán Nhà
10,12,2023,41.0,2,5,7.35,2,Có,Quận 5,Bán Nhà riêng
7,12,2023,96.0,1,2,6.98,2,Có,Tân Phú,Bán Nhà riêng
8,12,2023,91.0,3,3,3.5,3,Có,Thủ Đức,Bán Nhà mặt phố
8,12,2023,180.0,2,5,19.0,1,Có,Thủ Đức,Bán Nhà
8,12,2023,33.0,3,3,4.0,3,Có,Bình Thạnh,Bán Nhà
8,12,2023,118.0,2,4,19.0,1,Có,Thủ Đức,Bán Nhà mặt phố
8,12,2023,150.0,2,4,22.0,1,Có,Thủ Đức,Bán Nhà riêng
8,12,2023,75.0,6,5,12.8,4,Có,Quận 4,Bán Nhà mặt phố
8,12,2023,110.0,3,4,3.4,3,Có,Quận 8,Bán Nhà riêng
8,12,2023,12.0,2,3,6.85,2,Có,Quận 7,Bán Nhà
8,12,2023,85.0,3,7,8.99,3,Có,Tân Phú,Bán Nhà riêng
8,12,2023,53.0,4,4,7.39,4,Có,Gò Vấp,Bán Nhà riêng
8,12,2023,80.0,6,6,16.0,1,Có,Quận 2,Bán Nhà riêng
8,12,2023,50.0,2,3,4.75,1,Có,Bình Thạnh,Bán Nhà riêng
9,12,2023,40.0,2,4,5.5,4,Có,Tân Bình,Bán Nhà riêng
9,12,2023,80.0,5,5,9.39,2,Có,Bình Thạnh,Bán Nhà riêng
9,12,2023,80.0,4,4,15.8,3,Có,Quận 2,Bán Nhà riêng
9,12,2023,57.0,3,4,6.1,4,Có,Tân Phú,Bán Nhà riêng
9,12,2023,55.0,1,3,5.75,3,Có,Tân Bình,Bán Nhà riêng
9,12,2023,35.0,2,3,5.5,4,Có,Tân Bình,Bán Nhà riêng
9,12,2023,31.0,3,4,4.69,3,Có,Tân Phú,Bán Nhà riêng
